Naam;Afkorting;Adviescollege Scope;Actief vanaf;Kaderwet van toepassing;Classificaties;Register van overheidsorganisaties URL;Adviescollege URL;TOOI-URI
Commissie voor de milieueffectrapportage;Commissie m.e.r.;Permanent;1-1-1994;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391631/Commissie_voor_de_milieueffectrapportage;https://www.commissiemer.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10196
Autoriteit Persoonsgegevens;AP;Permanent;1-1-2000;Ja;cao, overheidswerkgever, pensioenfonds, wnt-instelling, woo;https://organisaties.overheid.nl/28212470/Autoriteit_Persoonsgegevens;https://www.autoriteitpersoonsgegevens.nl;https://identifier.overheid.nl/tooi/id/zbo/zb000215
Staatscommissie tegen Discriminatie en Racisme;;Eenmalig;1-5-2022;Ja;;https://organisaties.overheid.nl/29819725/Staatscommissie_tegen_Discriminatie_en_Racisme;https://www.staatscommissietegendiscriminatieenracisme.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12366
Adviescollege Verloftoetsing tbs;Avt;Permanent;1-10-2007;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28351150/Adviescollege_Verloftoetsing_tbs;https://www.verlofadviescollege.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10107
Adviescollege Nederlandse Gebarentaal;AC-NGT;Permanent;1-7-2021;Ja;woo;https://organisaties.overheid.nl/29515152/Adviescollege_Nederlandse_Gebarentaal;https://www.adviescollegengt.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg12360
Commissie van advies inzake volkenrechtelijke vraagstukken;CAVV;Permanent;1-1-1998;Ja;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28211368/Commissie_van_advies_inzake_volkenrechtelijke_vraagstukken;https://www.adviescommissievolkenrecht.nl/;https://identifier.overheid.nl/tooi/id/oorg/oorg10211
Nederlandse Commissie beoordeling veiligheid voedselcontactmaterialen;CBVV;Permanent;1-7-2020;Nee;;https://organisaties.overheid.nl/30272993/Nederlandse_Commissie_beoordeling_veiligheid_voedselcontactmaterialen;;https://identifier.overheid.nl/tooi/id/oorg/oorg12385
Visserijcommissie BES;;Permanent;10-10-2010;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391571/Visserijcommissie_BES;;https://identifier.overheid.nl/tooi/id/oorg/oorg10190
Wetenschappelijke autoriteit CITES;;Permanent;1-1-2017;Nee;cao, overheidswerkgever, woo;https://organisaties.overheid.nl/28391591/Wetenschappelijke_autoriteit_CITES;https://www.rvo.nl/onderwerpen/cites/dit-cites;https://identifier.overheid.nl/tooi/id/oorg/oorg10192
College voor de Rechten van de Mens;;Permanent;1-1-2012;Ja;cao, overheidswerkgever, pensioenfonds, woo;https://organisaties.overheid.nl/28214728/College_voor_de_Rechten_van_de_Mens;https://www.mensenrechten.nl/;https://identifier.overheid.nl/tooi/id/zbo/zb000200
